date,type,likes_count_fb,comments_count_fb,shares_count_fb,sentiment,valence,post_link
09/10/2015,video,214,311,26,neutral,0,https://www.facebook.com/77249349077/posts/10153749332514078
14/10/2015,photo,274,119,0,neutral,0,https://www.facebook.com/77249349077/posts/10153759712854078
14/10/2015,photo,168,184,0,neutral,0,https://www.facebook.com/77249349077/posts/10153759826589078
15/10/2015,photo,1041,122,171,positive,2,https://www.facebook.com/77249349077/posts/10153760701879078
15/10/2015,photo,1752,428,391,positive,1,https://www.facebook.com/77249349077/posts/10153760797344078
15/10/2015,video,1753,380,1001,neutral,0,https://www.facebook.com/77249349077/posts/10153760790409078
15/10/2015,photo,1872,457,473,positive,1,https://www.facebook.com/77249349077/posts/10153760798949078
15/10/2015,video,1244,302,1228,neutral,0,https://www.facebook.com/77249349077/posts/10153760729214078
15/10/2015,photo,2412,628,527,neutral,0,https://www.facebook.com/77249349077/posts/10153761234904078
16/10/2015,photo,763,91,126,positive,1,https://www.facebook.com/77249349077/posts/10153762522049078
16/10/2015,video,390,10,41,neutral,0,https://www.facebook.com/77249349077/posts/10153762677164078
16/10/2015,video,6084,695,7358,neutral,0,https://www.facebook.com/77249349077/posts/10153762659009078
16/10/2015,photo,1540,173,207,neutral,0,https://www.facebook.com/77249349077/posts/10153762718129078
16/10/2015,video,362,149,378,positive,2,https://www.facebook.com/77249349077/posts/10153762405604078
16/10/2015,video,732,133,220,neutral,0,https://www.facebook.com/77249349077/posts/10153762872064078
17/10/2015,photo,1051,162,246,neutral,0,https://www.facebook.com/77249349077/posts/10153764111889078
17/10/2015,photo,1845,205,157,positive,1,https://www.facebook.com/77249349077/posts/10153764559069078
17/10/2015,photo,698,125,169,neutral,0,https://www.facebook.com/77249349077/posts/10153764572209078
17/10/2015,photo,698,138,0,neutral,0,https://www.facebook.com/77249349077/posts/10153764805774078
18/10/2015,photo,1459,248,65,neutral,0,https://www.facebook.com/77249349077/posts/10153766211609078
18/10/2015,link,1152,430,99,neutral,0,https://www.facebook.com/77249349077/posts/10153766332939078
19/10/2015,video,554,253,81,neutral,0,https://www.facebook.com/77249349077/posts/10153768193539078
20/10/2015,link,926,897,241,positive,1,https://www.facebook.com/77249349077/posts/10153770504549078
22/10/2015,video,1167,217,680,neutral,0,https://www.facebook.com/77249349077/posts/10153773299329078
22/10/2015,video,784,315,368,positive,3,https://www.facebook.com/77249349077/posts/10153773470214078
22/10/2015,video,668,219,0,neutral,0,https://www.facebook.com/77249349077/posts/10153773580249078
22/10/2015,link,406,791,581,positive,1,https://www.facebook.com/77249349077/posts/10153773750904078
23/10/2015,video,1170,494,996,neutral,0,https://www.facebook.com/77249349077/posts/10153775359194078
23/10/2015,link,811,294,142,neutral,0,https://www.facebook.com/77249349077/posts/10153775573474078
25/10/2015,link,518,239,94,positive,2,https://www.facebook.com/77249349077/posts/10153778839039078
27/10/2015,photo,2415,238,499,negative,-3,https://www.facebook.com/77249349077/posts/10153782437474078
27/10/2015,photo,1812,320,383,neutral,0,https://www.facebook.com/77249349077/posts/10153782732379078
28/10/2015,link,857,372,95,neutral,0,https://www.facebook.com/77249349077/posts/10153784080269078
30/10/2015,video,830,189,977,neutral,0,https://www.facebook.com/77249349077/posts/10153787577674078
30/10/2015,link,719,569,135,negative,-1,https://www.facebook.com/77249349077/posts/10153788006249078
02/11/2015,photo,793,286,106,positive,1,https://www.facebook.com/77249349077/posts/10153793933449078
03/11/2015,photo,72,39,0,positive,1,https://www.facebook.com/77249349077/posts/10153795293599078
03/11/2015,photo,65,21,0,positive,1,https://www.facebook.com/77249349077/posts/10153795387614078
03/11/2015,photo,1945,473,430,negative,-2,https://www.facebook.com/77249349077/posts/10153795392224078
04/11/2015,video,866,194,328,neutral,0,https://www.facebook.com/77249349077/posts/10153796728739078
04/11/2015,link,1157,403,351,positive,2,https://www.facebook.com/77249349077/posts/10153796933009078
05/11/2015,video,504,133,347,neutral,0,https://www.facebook.com/77249349077/posts/10153798462664078
05/11/2015,link,535,574,98,neutral,0,https://www.facebook.com/77249349077/posts/10153798599339078
09/11/2015,link,565,457,131,negative,-1,https://www.facebook.com/77249349077/posts/10153805928679078
10/11/2015,link,508,463,254,neutral,0,https://www.facebook.com/77249349077/posts/10153807636374078
10/11/2015,link,1861,698,263,neutral,0,https://www.facebook.com/77249349077/posts/10153808265854078
12/11/2015,photo,1130,226,143,neutral,0,https://www.facebook.com/77249349077/posts/10153811450094078
13/11/2015,photo,1250,582,282,neutral,0,https://www.facebook.com/77249349077/posts/10153812881464078
15/11/2015,link,927,700,132,positive,1,https://www.facebook.com/77249349077/posts/10153816409824078
18/11/2015,photo,1534,494,644,positive,2,https://www.facebook.com/77249349077/posts/10153821860879078
18/11/2015,photo,1042,437,352,positive,2,https://www.facebook.com/77249349077/posts/10153822003254078
18/11/2015,link,3526,1444,550,negative,-7,https://www.facebook.com/77249349077/posts/10153822405609078
18/11/2015,link,923,409,91,neutral,0,https://www.facebook.com/77249349077/posts/10153822485849078
19/11/2015,link,1771,768,258,positive,2,https://www.facebook.com/77249349077/posts/10153824382219078
20/11/2015,video,1642,542,438,positive,1,https://www.facebook.com/77249349077/posts/10153826192004078
20/11/2015,link,348,357,46,neutral,0,https://www.facebook.com/77249349077/posts/10153826433119078
23/11/2015,link,385,530,81,negative,-1,https://www.facebook.com/77249349077/posts/10153831446724078
24/11/2015,link,923,894,425,negative,-1,https://www.facebook.com/77249349077/posts/10153833879339078
25/11/2015,photo,983,537,206,positive,1,https://www.facebook.com/77249349077/posts/10153835175844078
25/11/2015,video,322,172,92,neutral,0,https://www.facebook.com/77249349077/posts/10153835694974078
25/11/2015,photo,929,343,221,neutral,0,https://www.facebook.com/77249349077/posts/10153835781174078
26/11/2015,link,671,170,103,positive,1,https://www.facebook.com/77249349077/posts/10153837035849078
26/11/2015,photo,1253,735,365,positive,5,https://www.facebook.com/77249349077/posts/10153837045399078
